farm_id,fertilizer_kg_per_hectare,rainfall_mm,soil_ph,farm_size_hectares,years_farming_experience,crop_type,irrigation_type,region,yield_tons_per_hectare
F1211,225,223.3,6.31,8.5,32,Wheat,Flood,Upper Egypt,6.61
F1313,146,,6.82,11.9,11,Corn,Flood,Sinai,9.35
F1304,327.3,1310.9,6.3,29.9,1,Barley,Flood,Upper Egypt,0.48
F1113,224.3,708.4,6.35,9.4,31,WHEAT,Drip,Upper Egypt,7.76
F1251,331,694.4,7.63,3.3,18,Wheat,Flood,Delta,0.79
F1226,19.2,1197.7,6.43,9.9,8,Corn,Drip,Delta,10.04
F1135,18.4,400.3,6.71,14,23,Barley,Drip,Delta,6.57
F1232,367.5,554.5,5.02,14.5,17,Barley,Flood,Delta,0.2
F1188,286.3,825.8,6.41,16.9,17,Wheat,Flood,Upper Egypt,3.09
F1144,185.2,660.4,5.88,10.4,34,Corn,Drip,Upper Egypt,11.52
F1175,26.6,591.7,7.98,13.6,2,Wheat,Drip,Delta,7.12
F1014,174.1,817,6.96,16,3,Corn,Flood,Delta,9.58
F1082,311.2,464.8,5.6,8.1,5,Wheat,Flood,Upper Egypt,1
F1243,206.4,431.4,5.72,7.2,9,Wheat,Flood,Delta,7.36
F1049,61.7,704.9,4.99,9.4,7,Wheat,Drip,Delta,8.69
F1150,315.7,498.8,6.62,12.8,26,Wheat,Drip,Upper Egypt,1.31
F1335,237.3,551.5,6.03,11.3,15,Wheat,Drip,Upper Egypt,7.5
F1020,290.5,880,7.75,21.9,3,Wheat,Flood,Upper Egypt,4.23
F1130,73.1,564,7.35,22.5,11,Corn,Drip,Delta,12.37
F1074,31.6,793.3,7.47,35.2,15,Barley,Flood,Delta,7.28
F1249,167.6,1044,7.69,17.3,34,Wheat,Drip,Delta,12.51
F1021,141.2,402,5.99,20.7,16,CORN,Sprinkler,Delta,10.38
F1203,63.2,670.4,6.65,9,25,Corn,Flood,Delta,9.11
F1204,15.2,543,5.49,27.9,24,Wheat,Flood,Upper Egypt,5.12
F1154,50.2,1065.3,7.69,20,16,Corn,Sprinkler,Delta,10.95
F1041,318.1,794.5,6.2,16.1,31,Barley,Drip,Delta,1.35
F1151,341.6,751.4,6.65,25.2,8,Wheat,Flood,Upper Egypt,0.2
F1163,23.8,988.8,6.76,42,21,Corn,Sprinkler,Upper Egypt,8.82
F1279,324.9,917.8,6.7,6.5,11,Corn,Sprinkler,Upper Egypt,2.2
F1136,364.7,293.9,6.74,2.8,21,Barley,Drip,Delta,0.2
F1061,184.3,810.8,5.37,13.6,4,Corn,Sprinkler,Upper Egypt,9.48
F1153,215,799.1,5.97,41.6,29,Wheat,Sprinkler,Upper Egypt,7.63
F1060,257.3,865.3,7.09,3,1,Corn,Flood,Upper Egypt,6.27
F1103,368.6,521.1,7.96,5.9,2,Wheat,Sprinkler,Delta,0.2
F1294,322.1,757.1,6.52,33.3,14,Barley,Drip,Upper Egypt,0.44
F1190,356.6,598.6,6.78,8.6,20,Wheat,Flood,Delta,0.2
F1212,83.9,577,6.37,4.7,33,Wheat,Sprinkler,Sinai,7.78
F1219,157.1,794.7,7.52,35.9,22,Wheat,Flood,Upper Egypt,8.93
F1124,25.4,826.7,5.27,15.6,15,Wheat,Drip,Delta,8.25
F1016,215.2,841.1,5.93,23.6,13, wheat ,Flood,Delta,7.69
F1209,197.3,631.5,6.39,26.8,5,Wheat,Drip,Delta,8.47
F1011,352.9,,6.75,28.6,33,Barley,Flood,Sinai,0.2
F1317,263.7,675.8,6.74,11.5,22,Wheat,Drip,Upper Egypt,5.32
F1157,254,737.5,4.72,5.1,26,Barley,Drip,Upper Egypt,4.95
F1039,257.8,586.4,5.58,5.1,34,Barley,Sprinkler,Delta,5.91
F1101,268.9,445.9,5.25,11.7,29,Rice,Drip,Upper Egypt,6.77
F1271,74.6,803.2,7.25,14.6,34,Barley,Drip,Delta,9.57
F1012,248.2,883.9,6.25,18.1,15,Corn,Flood,Delta,6.23
F1102,108.4,836.4,7.91,10,30,Wheat,Drip,Sinai,9.61
F1183,126.9,406.6,6.07,19.8,17,Barley,Flood,Upper Egypt,7.7
F1180,339.6,845.7,7.17,27.4,18,Rice,Flood,Upper Egypt,1.13
F1230,61.9,522.9,5.62,4.2,5,Rice,Drip,Delta,10.11
F1221,190.8,905.5,4.3,21.5,14,Wheat,Drip,Delta,9.34
F1217,55.8,694.3,5.42,34.6,11,Corn,Flood,Delta,8.13
F1134,228.6,566.7,5.42,37.7,19,Corn,Drip,Delta,10.59
F1306,152.5,323.9,6.96,29.1,3,Barley,Drip,Sinai,7.87
F1285,164,436.8,6.83,27.1,17,Wheat,Drip,Delta,10.98
F1287,148.2,572.5,5.76,5.8,22,Rice,Flood,Delta,10.26
F1255,286,685.4,6.51,29.1,30,Corn,Sprinkler,Delta,5.25
F1292,352.2,1069.3,6.77,29.9,28,Wheat,Flood,Delta,0.2
F1028,67.1,801.2,5.7,29.9,0,Corn,Flood,Delta,9.11
F1188,286.3,825.8,6.41,16.9,17,Wheat,Flood,Upper Egypt,3.09
F1198,82.7,652.6,7.15,23.8,22,Rice,Drip,Upper Egypt,11.82
F1053,256,773.7,6.31,16.8,4,Corn,Sprinkler,Upper Egypt,7.95
F1233,230.5,734.5,6.75,5.5,29,Corn,Drip,Upper Egypt,10.25
F1257,49,907.2,6.25,22.8,32,Wheat,Drip,Upper Egypt,8.98
F1256,312.1,514.1,5.89,14.4,14,Barley,Drip,Delta,0.59
F1277,196.7,609.9,6.66,13.9,9,Wheat,Drip,Delta,9.3
F1052,301.2,649.3,5.48,13.8,6,Corn,Sprinkler,Upper Egypt,4.57
F1258,34.6,1189.4,8.09,19.2,11,Barley,Sprinkler,Delta,8.28
F1239,50.4,714.9,6.2,17.8,10,Barley,Sprinkler,Delta,7.9
F1207,260.7,405.5,4.7,34,19,Barley,Flood,Upper Egypt,4.17
F1104,298.1,854.4,7.62,2.5,30,Wheat,Drip,Sinai,3.18
F1216,58.5,710.6,5.35,19.8,6,Corn,Drip,Delta,10.76
F1339,356.3,394.6,7,11.3,2,Corn,Drip,Upper Egypt,0.2
F1165,147.2,687,5.38,14,32,Barley,Flood,Delta,7.78
F1083,71.8,423.9,6.41,4.9,16,Rice,Drip,Delta,11.92
F1254,97.6,495.6,5.62,14.2,25,Corn,Sprinkler,Delta,10.14
F1146,132.7,790.8,5.95,3,11,Wheat,Flood,Delta,9.15
F1229,49.2,584.2,5.79,6,17,Rice,Drip,Upper Egypt,10.38
F1308,108.6,687,5.46,15.8,34,Wheat,Drip,Sinai,9.92
F1197,333.6,1058.8,5.78,11.7,0,Rice,Flood,Upper Egypt,2.42
F1008,57.4,482.4,6.71,22.8,14,Rice,Sprinkler,Delta,9.43
F1299,247.7,659.4,6.17,21.8,6,Corn,Drip,Sinai,7.98
F1070,89.4,800.4,7.13,28.4,14,RICE,Flood,Delta,10.96
F1002,327.7,636,4.3,34.7,14,Wheat,Flood,Upper Egypt,0.2
F1106,176.3,,7.62,32.3,7,Corn,Flood,Sinai,8.58
F1088,69.7,793.5,7.42,5.9,27,Wheat,Sprinkler,Delta,9.62
F1333,328.5,377.8,6.35,11.3,21,Wheat,Sprinkler,Delta,0.2
F1281,77.2,379.2,6.74,19.6,19,Barley,Flood,Delta,7.01
F1105,275.2,721.2,6.63,32.8,26,Corn,Flood,Sinai,6.36
F1025,82,624.4,7.26,20.4,22,Rice,Sprinkler,Upper Egypt,10.43
F1193,317.5,536.6,5.52,42.1,7,Wheat,Drip,Delta,0.9
F1205,95,651.3,7.05,16.3,1,Corn,Sprinkler,Sinai,11
F1202,195.3,1094.2,6.36,31.8,18,Corn,Flood,Upper Egypt,9.54
F1214,274.7,568.2,7.25,1,14,Wheat,Drip,Delta,4.4
F1240,316.9,606.4,5.25,15.8,12,Rice,Drip,Upper Egypt,3.46
F1302,208.3,219.2,6.43,16.5,34,Barley,Flood,Delta,6.75
F1085,43.3,600.8,5.49,20.4,5,Wheat,Drip,Delta,8.22
F1031,368,,5.58,15.3,28,Wheat,Flood,Sinai,0.2
F1139,40.6,685.5,6.28,15.8,15,Corn,Drip,Delta,10.77
F1022,369.2,1074.7,6.02,14.1,4,Corn,Flood,Sinai,0.2
F1062,219.1,439.2,5.39,33.7,18,Wheat,Sprinkler,Sinai,7.03
F1334,58.9,,5.74,10.5,8,Corn,Drip,Delta,10.27
F1099,365.9,926.8,6.48,8.8,24,Wheat,Sprinkler,Upper Egypt,0.2
F1069,171.6,917.2,7.1,12.5,22,Barley,Sprinkler,Upper Egypt,9.82
F1196,231.8,707.9,6.48,13,20,Corn,Flood,Delta,7.84
F1143,221.5,826.5,6.22,25.8,3,Wheat,Sprinkler,Delta,6.86
F1328,244.2,820.3,6.72,17.4,0,Wheat,Flood,Delta,5.83
F1054,270.9,,7.42,12.7,13,Corn,Flood,Upper Egypt,7.37
F1297,306.7,853.6,6.37,13.7,4,Corn,Drip,Delta,4.42
F1318,119.8,718.8,6.97,21.9,31,Rice,Drip,Sinai,11.39
F1077,254.9,864.7,6.49,5.3,24,Barley,Sprinkler,Upper Egypt,6.67
F1186,148.3,731.1,6.43,1.1,33,Barley,Flood,Upper Egypt,8.95
F1137,188.5,504.2,7.56,25.1,2,Wheat,Sprinkler,Upper Egypt,9.07
F1055,298.9,397.5,4.35,8.1,2,Wheat,Flood,Sinai,0.51
F1174,70.9,946.9,6.43,11.5,4,Rice,Sprinkler,Delta,10.88
F1098,53.7,671.2,4.79,10.3,33,Corn,Sprinkler,Delta,9.14
F1029,262.7,801.6,4.31,15.4,31,Corn,Drip,Sinai,6.7
F1044,317.9,1042.4,7.03,21.4,28,Rice,Flood,Sinai,3.35
F1282,97.6,868.4,4.3,14.5,2,Wheat,Flood,Upper Egypt,7.94
F1155,258.7,770.1,5.35,30.7,19,Wheat,Sprinkler,Upper Egypt,5.69
F1314,145.6,903.8,5.02,5.4,3,CORN,Flood,Delta,9.95
F1261,315.1,801.8,6.19,35.9,18,Corn,Flood,Delta,3.21
F1026,182.7,929,4.37,20.8,10,Rice,Sprinkler,Delta,10.69
F1319,361.1,885.4,5.14,13.8,9,Wheat,Drip,Delta,0.2
F1116,290.7,1040.5,7.2,8.1,34,Corn,Flood,Upper Egypt,6.51
F1095,243.2,619.2,7.07,7.7,29,Rice,Drip,Upper Egypt,9.37
F1086,277.3,914.9,8.24,25.9,14,Corn,Flood,Upper Egypt,6.64
F1295,344,809.2,5.5,18,11,Wheat,Drip,Delta,0.2
F1123,163.8,721.1,5.73,10.6,21,Corn,Drip,Delta,11.9
F1182,202,852.3,,4.9,11,Corn,Sprinkler,Delta,10.2
F1003,268,1082.5,,4.6,27,Wheat,Sprinkler,Sinai,5.95
F1112,123.2,844.1,5.23,16.9,22,Rice,Sprinkler,Upper Egypt,11.33
F1330,281.9,789,6.51,27.8,3,Corn,Drip,Delta,5.83
F1238,16.6,912.7,,6,25,Wheat,Sprinkler,Delta,6.99
F1159,294.4,578.5,6.43,4.9,16,Barley,Drip,Delta,3.37
F1312,96.1,865.4,6.8,21.5,34,Corn,Flood,Delta,9.27
F1051,12.7,1102.9,6.08,13.5,3,Corn,Flood,Delta,7.43
F1036,58.1,517.1,6.35,14.6,4,Rice,Drip,Upper Egypt,10.58
F1097,42.4,554.6,6.71,15,11,Barley,Drip,Upper Egypt,6.47
F1259,229.9,491.1,6.25,7.1,7,Corn,Sprinkler,Delta,8.7
F1013,314.4,245.9,7.14,21.2,24,Wheat,Sprinkler,Upper Egypt,0.2
F1058,61.7,575.3,7.72,13.5,3,Rice,Flood,Upper Egypt,9.03
F1164,215.3,830.6,,23.4,25,Wheat,Flood,Upper Egypt,6.88
F1173,356.3,1050,8.11,21,25,Wheat,Drip,Sinai,0.2
F1009,176.6,602.3,8.54,12.7,0,Rice,Sprinkler,Delta,10.77
F1128,48.3,785.2,6.29,14.9,32,Barley,Sprinkler,Upper Egypt,8.24
F1262,124.8,1104.4,6.47,25.7,23,Corn,Flood,Delta,11.08
F1222,255.3,895.8,4.87,12.4,10,Wheat,Flood,Delta,5.91
F1045,307.8,938.5,5.47,31.5,11,Barley,Drip,Upper Egypt,1.32
F1115,326.9,829.6,8.02,36.5,10,Wheat,Sprinkler,Upper Egypt,0.67
F1278,333.8,869,6.08,15.9,1,Rice,Sprinkler,Delta,3.77
F1024,298,936.2,6.18,35.2,2,Rice,Sprinkler,Delta,5.51
F1184,295.6,684.6,5.96,17.8,19,Corn,Flood,Sinai,3.87
F1336,45.2,,,14.7,23,Corn,Drip,Delta,9.95
F1169,362.6,347.1,6.11,9.8,18,Wheat,Flood,Upper Egypt,0.2
F1126,132,1206.9,6.75,17,5,Wheat,Drip,Sinai,11.6
F1284,221.4,801.8,6.81,4.8,6,Rice,Flood,Delta,8.93
F1316,150.4,787.8,7.06,14.3,8,Barley,Flood,Delta,8.77
F1303,200.3,1104.4,6.15,30.5,15,Corn,Flood,Sinai,8.57
F1033,147.1,716.4,7.4,4.9,12,Corn,Drip,Sinai,12.05
F1329,116.6,558.8,7.09,13.9,29,Wheat,Sprinkler,Sinai,8.97
F1122,41.2,834.3,6.26,19.1,9,Wheat,Flood,Sinai,6.08
F1063,293,241.8,6.8,32.2,28,Barley,Drip,Delta,3.31
F1066,216.9,851.1,6.23,2.3,2,Wheat,Drip,Delta,8.73
F1195,76.3,1043.9,6.35,5.8,3,Barley,Flood,Delta,7.71
F1129,227.4,986.8,7.3,23.4,4,Wheat,Flood,Sinai,6.8
F1206,58.8,849.5,6.46,14,7,Wheat,Flood,Upper Egypt,6.84
